Tissue,System,altSystem,sex
adrenal gland,endocrine,,
appendix,lymphatic,,
bone marrow,lymphatic,,
breast,reproductive,,
bronchus,respiratory,,
caudate,CNS,,
cerebellum,CNS,,
cerebral cortex,CNS,,
"cervix, uterine",reproductive,,
colon,digestive,,
duodenum,digestive,,
endometrium 1,reproductive,,F
endometrium 2,reproductive,,F
epididymis,reproductive,,M
esophagus,digestive,,
fallopian tube,reproductive,,F
gallbladder,digestive,,
heart muscle,circulatory,,
hippocampus,CNS,,
kidney,excretory,endocrine,
liver,digestive,,
lung,respiratory,,
lymph node,lymphatic,,
nasopharynx,respiratory,digestive,
oral mucosa,integumentary,,
ovary,reproductive,,F
pancreas,endocrine,digestive,
parathyroid gland,endocrine,,
placenta,reproductive,,
prostate,reproductive,,
rectum,digestive,,
salivary gland,digestive,,
seminal vesicle,reproductive,,M
skeletal muscle,muscle,,
skin 1,skin,,
skin 2,skin,,
small intestine,digestive,,
smooth muscle,muscle,,
soft tissue 1,skin,,
soft tissue 2,skin,,
spleen,lymphatic,,
stomach 1,digestive,,
stomach 2,digestive,,
testis,reproductive,,M
thyroid gland,endocrine,,
tonsil,lymphatic,,
urinary bladder,excretory,,
vagina,reproductive,,F
hypothalamus,CNS,,
hair,hair,,
lactating breast,reproductive,,F
skin,skin,,
retina,PNS,,
eye,PNS,,
thymus,lymphatic,,
pituitary gland,CNS,endocrine,
choroid plexus,CNS,,
sole of foot,skin,,
